feeder,tag,start,end,event,event_id,time_diff_pre,JID,year,visit_duration,perch,site,position,day,time,hour,rings,sex,partnerID,box,motherID,fatherID,age,position_year,pre_JID,pre_start,pre_end,this_start,this_end,pre_event_id,next_JID,next_start,next_end,time_diff_next,next_event_id,self_follow,parent,age_24,JID_position,JID_position_year,dual_juv,dual_juv_parent,visit_no,day_ringed,motherID_position_year,fatherID_position_year,mother_position_first,father_position_first,mother_days_before,father_days_before,motherID_year,mother_visit_no_total,fatherID_year,father_visit_no_total,mother_feeder_use,father_feeder_use,parent_feeder_use,pre_age24,pre_age,pre_JID_position_year,pre_first_day,pre_days_before,juv_juv,pre_dual_event_key,day_ringed_z
Z5.1,01148AB71F,21/07/2023 10:45,21/07/2023 10:46,70216,Z5.1 2023-07-21 10:45:30.878 J5472,845.638,J5472,2023,56.6489999294281s,primary,Z,Z5,202,45:30.9,10,RZGRZM,NA,NA,NA,NA,J3049,1,Z5_2023,J5316,21/07/2023 10:31,21/07/2023 10:31,21/07/2023 10:45,21/07/2023 10:46,Z5.1 2023-07-21 10:31:25.240 J5316,J5316,21/07/2023 12:29,21/07/2023 12:30,6193.598,Z5.1 2023-07-21 12:29:41.124 J5316,not self,0,2,J5472_Z5,J5472_Z5_2023,0,0,1,150,NA_Z5_2023,J3049_Z5_2023,NA,NA,NA,NA,NA_2023,NA,J3049_2023,NA,0,0,0,2,1,J5316_Z5_2023,202,0,juv_juv,solo_event,-0.74380614
Z2.1,01148B03CF,20/07/2023 13:38,20/07/2023 13:39,34087,Z2.1 2023-07-20 13:38:00.691 J5475,62.82399988,J5475,2023,78.1190001964569s (~1.3 minutes),primary,Z,Z2,201,38:00.7,13,RRRZM,NA,NA,NA,J3238,GZXMBZ,1,Z2_2023,J4312,20/07/2023 13:36,20/07/2023 13:36,20/07/2023 13:38,20/07/2023 13:39,Z2.1 2023-07-20 13:36:51.437 J4312,J5103,20/07/2023 13:45,20/07/2023 13:45,388.441,Z2.1 2023-07-20 13:45:47.253 J5103,not self,0,2,J5475_Z2,J5475_Z2_2023,0,0,27,150,J3238_Z2_2023,GZXMBZ_Z2_2023,139,NA,62,NA,J3238_2023,NA,GZXMBZ_2023,NA,2,0,2,4,3,J4312_Z2_2023,139,62,no_juv_juv,solo_event,-0.74380614
Y1.1,01148A9C55,04/07/2023 11:37,04/07/2023 11:37,40230,Y1.1 2023-07-04 11:37:34.608 J5476,333.0179999,J5476,2023,0s,primary,Y,Y1,185,37:34.6,11,GRRZM,NA,NA,NA,J2124,J2130,1,Y1_2023,J972,04/07/2023 11:32,04/07/2023 11:32,04/07/2023 11:37,04/07/2023 11:37,Y1.1 2023-07-04 11:32:01.590 J972,J5476,04/07/2023 11:37,04/07/2023 11:37,11.10100007,Y1.1 2023-07-04 11:37:45.709 J5476,not self,0,2,J5476_Y1,J5476_Y1_2023,0,0,8,152,J2124_Y1_2023,J2130_Y1_2023,136,NA,49,NA,J2124_2023,NA,J2130_2023,NA,2,0,2,11,10,J972_Y1_2023,141,44,no_juv_juv,solo_event,-0.170955444
Y2.1,01148A9C55,30/07/2023 09:33,30/07/2023 09:33,15652,Y2.1 2023-07-30 09:33:51.417 J5476,448.388,J5476,2023,0.0509998798370361s,primary,Y,Y2,211,33:51.4,9,GRRZM,NA,NA,NA,J2124,J2130,1,Y2_2023,J516,30/07/2023 09:25,30/07/2023 09:26,30/07/2023 09:33,30/07/2023 09:33,Y2.1 2023-07-30 09:25:58.210 J516,J5476,30/07/2023 09:34,30/07/2023 09:34,36.81599998,Y2.1 2023-07-30 09:34:28.282 J5476,not self,0,2,J5476_Y2,J5476_Y2_2023,0,0,2,152,J2124_Y2_2023,J2130_Y2_2023,178,NA,33,NA,J2124_2023,NA,J2130_2023,NA,2,0,2,12,11,J516_Y2_2023,143,68,no_juv_juv,solo_event,-0.170955444
Z3.1,01148AFD21,29/07/2023 06:44,29/07/2023 06:44,8878,Z3.1 2023-07-29 06:44:13.307 J5479,281.783,J5479,2023,0s,primary,Z,Z3,210,44:13.3,6,WRRZM,NA,WORKSHOP SHELVES,NA,J3490,J4070,1,Z3_2023,J5604,29/07/2023 06:39,29/07/2023 06:39,29/07/2023 06:44,29/07/2023 06:44,Z3.1 2023-07-29 06:39:31.524 J5604,J5622,29/07/2023 06:51,29/07/2023 06:51,432.4719999,Z3.1 2023-07-29 06:51:25.779 J5622,not self,0,2,J5479_Z3,J5479_Z3_2023,0,0,1,152,J3490_Z3_2023,J4070_Z3_2023,NA,NA,NA,NA,J3490_2023,NA,J4070_2023,NA,0,0,0,2,1,J5604_Z3_2023,203,7,juv_juv,solo_event,-0.170955444
Z3.1,01148B34EB,22/07/2023 07:58,22/07/2023 07:59,8180,Z3.1 2023-07-22 07:58:44.365 J5484,12.18299985,J5484,2023,59.4449999332428s,primary,Z,Z3,203,58:44.4,7,OZRRZM,NA,Z22 RAFTER,NA,XMRV,J1346,1,Z3_2023,J4967,22/07/2023 07:57,22/07/2023 07:58,22/07/2023 07:58,22/07/2023 07:59,Z3.1 2023-07-22 07:57:27.827 J4967,J5484,22/07/2023 08:00,22/07/2023 08:00,34.94999981,Z3.1 2023-07-22 08:00:18.758 J5484,not self,0,2,J5484_Z3,J5484_Z3_2023,0,0,3,152,XMRV_Z3_2023,J1346_Z3_2023,NA,NA,NA,NA,XMRV_2023,NA,J1346_2023,NA,0,0,0,3,2,J4967_Z3_2023,146,57,no_juv_juv,solo_event,-0.170955444
Z5.1,01148B34EB,21/07/2023 09:20,21/07/2023 09:21,70127,Z5.1 2023-07-21 09:20:59.934 J5484,61.35899997,J5484,2023,2.05499982833862s,primary,Z,Z5,202,20:59.9,9,OZRRZM,NA,Z22 RAFTER,NA,XMRV,J1346,1,Z5_2023,J4967,21/07/2023 09:19,21/07/2023 09:19,21/07/2023 09:20,21/07/2023 09:21,Z5.1 2023-07-21 09:19:58.575 J4967,J4967,21/07/2023 09:23,21/07/2023 09:23,135.9790001,Z5.1 2023-07-21 09:23:17.967 J4967,not self,0,2,J5484_Z5,J5484_Z5_2023,0,0,7,152,XMRV_Z5_2023,J1346_Z5_2023,NA,NA,NA,NA,XMRV_2023,NA,J1346_2023,NA,0,0,0,3,2,J4967_Z5_2023,138,64,no_juv_juv,solo_event,-0.170955444
Z2.1,01148A6893,13/07/2023 11:16,13/07/2023 11:16,25805,Z2.1 2023-07-13 11:16:01.500 J5488,12.78499985,J5488,2023,40.6259999275208s,primary,Z,Z2,194,16:01.5,11,RYRZM,NA,SLATS HIGH,NA,NA,NA,1,Z2_2023,J3238,13/07/2023 11:15,13/07/2023 11:15,13/07/2023 11:16,13/07/2023 11:16,Z2.1 2023-07-13 11:15:24.937 J3238,J42,13/07/2023 11:16,13/07/2023 11:17,0,Z2.1 2023-07-13 11:16:42.125 J42,not self,0,2,J5488_Z2,J5488_Z2_2023,0,0,35,152,NA_Z2_2023,NA_Z2_2023,NA,NA,NA,NA,NA_2023,NA,NA_2023,NA,0,0,0,6,5,J3238_Z2_2023,139,55,no_juv_juv,solo_event,-0.170955444
Z3.1,01148A6893,29/07/2023 06:31,29/07/2023 06:32,8868,Z3.1 2023-07-29 06:31:09.858 J5488,39030.962,J5488,2023,62.7409999370575s (~1.05 minutes),primary,Z,Z3,210,31:09.9,6,RYRZM,NA,SLATS HIGH,NA,NA,NA,1,Z3_2023,J4967,28/07/2023 19:40,28/07/2023 19:40,29/07/2023 06:31,29/07/2023 06:32,Z3.1 2023-07-28 19:40:38.895 J4967,J5488,29/07/2023 06:32,29/07/2023 06:33,14.7750001,Z3.1 2023-07-29 06:32:27.374 J5488,not self,0,2,J5488_Z3,J5488_Z3_2023,0,0,2,152,NA_Z3_2023,NA_Z3_2023,NA,NA,NA,NA,NA_2023,NA,NA_2023,NA,0,0,0,3,2,J4967_Z3_2023,146,64,no_juv_juv,solo_event,-0.170955444
Z5.1,01148A6893,21/07/2023 13:28,21/07/2023 13:29,70236,Z5.1 2023-07-21 13:28:04.138 J5488,29.16499996,J5488,2023,64.5599999427795s (~1.08 minutes),primary,Z,Z5,202,28:04.1,13,RYRZM,NA,SLATS HIGH,NA,NA,NA,1,Z5_2023,J1627,21/07/2023 13:27,21/07/2023 13:27,21/07/2023 13:28,21/07/2023 13:29,Z5.1 2023-07-21 13:27:20.605 J1627,J5314,21/07/2023 13:32,21/07/2023 13:34,230.967,Z5.1 2023-07-21 13:32:59.664 J5314,not self,0,2,J5488_Z5,J5488_Z5_2023,0,0,6,152,NA_Z5_2023,NA_Z5_2023,NA,NA,NA,NA,NA_2023,NA,NA_2023,NA,0,0,0,9,8,J1627_Z5_2023,138,64,no_juv_juv,solo_event,-0.170955444
Z3.1,01148A85B6,29/07/2023 07:02,29/07/2023 07:03,8890,Z3.1 2023-07-29 07:02:33.987 J5491,469.8179998,J5491,2023,66.8960001468658s (~1.11 minutes),primary,Z,Z3,210,02:34.0,7,BYRZM,NA,NA,NA,J2317,J2661,1,Z3_2023,J5169,29/07/2023 06:54,29/07/2023 06:54,29/07/2023 07:02,29/07/2023 07:03,Z3.1 2023-07-29 06:54:44.170 J5169,J5491,29/07/2023 07:05,29/07/2023 07:05,88.38900018,Z3.1 2023-07-29 07:05:09.273 J5491,not self,0,2,J5491_Z3,J5491_Z3_2023,0,0,2,153,J2317_Z3_2023,J2661_Z3_2023,NA,149,NA,61,J2317_2023,NA,J2661_2023,NA,0,2,2,2,1,J5169_Z3_2023,210,0,juv_juv,solo_event,0.115469905
Z5.1,01148A85B6,19/07/2023 08:19,19/07/2023 08:19,68930,Z5.1 2023-07-19 08:19:40.516 J5491,0,J5491,2023,0s,primary,Z,Z5,200,19:40.5,8,BYRZM,NA,NA,NA,J2317,J2661,1,Z5_2023,J899,19/07/2023 08:19,19/07/2023 08:19,19/07/2023 08:19,19/07/2023 08:19,Z5.1 2023-07-19 08:19:08.213 J899,J899,19/07/2023 08:19,19/07/2023 08:20,5.950999975,Z5.1 2023-07-19 08:19:46.467 J899,not self,0,2,J5491_Z5,J5491_Z5_2023,0,0,30,153,J2317_Z5_2023,J2661_Z5_2023,NA,139,NA,61,J2317_2023,NA,J2661_2023,NA,0,2,2,11,10,J899_Z5_2023,138,62,no_juv_juv,solo_event,0.115469905
Z5.1,01148AA081,18/07/2023 08:19,18/07/2023 08:19,67966,Z5.1 2023-07-18 08:19:22.911 J5495,70988.069,J5495,2023,0s,primary,Z,Z5,199,19:22.9,8,BZYRZM,NA,MOWIE NE,NA,CONFIRM,CONFIRM,1,Z5_2023,J4967,17/07/2023 12:36,17/07/2023 12:36,18/07/2023 08:19,18/07/2023 08:19,Z5.1 2023-07-17 12:36:12.792 J4967,J5495,18/07/2023 08:21,18/07/2023 08:21,97.6559999,Z5.1 2023-07-18 08:21:00.566 J5495,not self,0,2,J5495_Z5,J5495_Z5_2023,0,0,6,153,CONFIRM_Z5_2023,CONFIRM_Z5_2023,NA,NA,NA,NA,CONFIRM_2023,NA,CONFIRM_2023,NA,0,0,0,3,2,J4967_Z5_2023,138,61,no_juv_juv,solo_event,0.115469905
Z2.1,01148B2611,18/07/2023 10:36,18/07/2023 10:36,31187,Z2.1 2023-07-18 10:36:23.628 J5497,834.214,J5497,2023,0s,primary,Z,Z2,199,36:23.6,10,BZWRZM,NA,NA,NA,J1666,J1726,1,Z2_2023,J4587,18/07/2023 10:21,18/07/2023 10:22,18/07/2023 10:36,18/07/2023 10:36,Z2.1 2023-07-18 10:21:32.467 J4587,J5497,18/07/2023 10:37,18/07/2023 10:37,36.671,Z2.1 2023-07-18 10:37:00.299 J5497,not self,0,2,J5497_Z2,J5497_Z2_2023,0,0,4,155,J1666_Z2_2023,J1726_Z2_2023,NA,139,NA,60,J1666_2023,NA,J1726_2023,NA,0,2,2,3,2,J4587_Z2_2023,141,58,no_juv_juv,solo_event,0.688320602
Z5.1,01148B4318,28/07/2023 11:09,28/07/2023 11:10,70734,Z5.1 2023-07-28 11:09:51.559 J5498,351584.652,J5498,2023,12.6080000400543s,primary,Z,Z5,209,09:51.6,11,GZWRZM,NA,NA,NA,J1666,J1726,1,Z5_2023,J1388,24/07/2023 09:29,24/07/2023 09:30,28/07/2023 11:09,28/07/2023 11:10,Z5.1 2023-07-24 09:29:14.689 J1388,J5604,29/07/2023 12:35,29/07/2023 12:35,91495.984,Z5.1 2023-07-29 12:35:00.151 J5604,not self,0,2,J5498_Z5,J5498_Z5_2023,0,0,12,155,J1666_Z5_2023,J1726_Z5_2023,NA,140,NA,69,J1666_2023,NA,J1726_2023,NA,0,2,2,10,9,J1388_Z5_2023,136,73,no_juv_juv,solo_event,0.688320602
Z5.1,01148A54AE,20/07/2023 17:08,20/07/2023 17:08,69849,Z5.1 2023-07-20 17:08:40.269 J5500,24.38100004,J5500,2023,4.16099977493286s,primary,Z,Z5,201,08:40.3,17,YZORZM,NA,NA,NA,J5516,J3716,1,Z5_2023,J4967,20/07/2023 17:08,20/07/2023 17:08,20/07/2023 17:08,20/07/2023 17:08,Z5.1 2023-07-20 17:08:13.361 J4967,J5457,20/07/2023 17:12,20/07/2023 17:12,215.204,Z5.1 2023-07-20 17:12:19.632 J5457,not self,0,2,J5500_Z5,J5500_Z5_2023,0,0,1,155,J5516_Z5_2023,J3716_Z5_2023,NA,137,NA,64,J5516_2023,NA,J3716_2023,NA,0,2,2,3,2,J4967_Z5_2023,138,63,no_juv_juv,solo_event,0.688320602
Z5.1,01148B2006,18/07/2023 11:53,18/07/2023 11:54,68405,Z5.1 2023-07-18 11:53:51.286 J5510,389.1400001,J5510,2023,57.7879998683929s,primary,Z,Z5,199,53:51.3,11,YGGZM,NA,NA,NA,J251,J3905,1,Z5_2023,J5234,18/07/2023 11:47,18/07/2023 11:47,18/07/2023 11:53,18/07/2023 11:54,Z5.1 2023-07-18 11:47:04.838 J5234,J5234,18/07/2023 12:05,18/07/2023 12:05,645.4029999,Z5.1 2023-07-18 12:05:34.475 J5234,not self,0,2,J5510_Z5,J5510_Z5_2023,0,0,1,162,J251_Z5_2023,J3905_Z5_2023,NA,NA,NA,NA,J251_2023,NA,J3905_2023,NA,0,0,0,2,1,J5234_Z5_2023,199,0,juv_juv,solo_event,2.693298041
Z2.1,01148A9749,31/07/2024 17:15,31/07/2024 17:15,5896,Z2.1 2024-07-31 17:15:26.656 J5649,37.36199999,J5649,2024,26.2849998474121s,primary,Z,Z2,213,15:26.7,17,MVYZR,NA,NA,Z40,J3828,J1962,1,Z2_2024,J6100,31/07/2024 17:14,31/07/2024 17:14,31/07/2024 17:15,31/07/2024 17:15,Z2.1 2024-07-31 17:14:23.217 J6100,J6100,31/07/2024 17:20,31/07/2024 17:21,277.451,Z2.1 2024-07-31 17:20:30.391 J6100,not self,0,1,J5649_Z2,J5649_Z2_2024,0,0,2,149,J3828_Z2_2024,J1962_Z2_2024,NA,NA,NA,NA,J3828_2024,NA,J1962_2024,NA,0,0,0,1,1,J6100_Z2_2024,207,6,juv_juv,solo_event,-1.030231489
Z2.1,01148A48BB,15/07/2024 15:36,15/07/2024 15:36,11468,Z2.1 2024-07-15 15:36:12.262 J5650,828.902,J5650,2024,22.3979997634888s,primary,Z,Z2,197,36:12.3,15,MVRR,NA,NA,Z31,J2701,J2396,1,Z2_2024,J4747,15/07/2024 15:21,15/07/2024 15:22,15/07/2024 15:36,15/07/2024 15:36,Z2.1 2024-07-15 15:21:57.979 J4747,J5650,15/07/2024 15:36,15/07/2024 15:36,18.91600013,Z2.1 2024-07-15 15:36:53.575 J5650,not self,0,1,J5650_Z2,J5650_Z2_2024,0,0,2,147,J2701_Z2_2024,J2396_Z2_2024,144,NA,53,NA,J2701_2024,NA,J2396_2024,NA,2,0,2,3,3,J4747_Z2_2024,62,135,no_juv_juv,solo_event,-1.603082186
Y1.1,01148B2E78,20/07/2024 08:12,20/07/2024 08:13,27314,Y1.1 2024-07-20 08:12:04.724 J5651,4574.15,J5651,2024,74.875s (~1.25 minutes),primary,Y,Y1,202,12:04.7,8,MVOZR,NA,NA,Z46,J5939,J5017,1,Y1_2024,J6095,20/07/2024 06:55,20/07/2024 06:55,20/07/2024 08:12,20/07/2024 08:13,Y1.1 2024-07-20 06:55:50.575 J6095,J6095,20/07/2024 09:09,20/07/2024 09:09,3372.743,Y1.1 2024-07-20 09:09:32.342 J6095,not self,0,1,J5651_Y1,J5651_Y1_2024,0,0,1,148,J5939_Y1_2024,J5017_Y1_2024,201,176,1,26,J5939_2024,NA,J5017_2024,NA,2,2,4,1,1,J6095_Y1_2024,201,1,juv_juv,solo_event,-1.316656837
Z2.1,01148B2E78,01/08/2024 08:29,01/08/2024 08:29,6161,Z2.1 2024-08-01 08:29:12.246 J5651,2724.62,J5651,2024,4.16199994087219s,primary,Z,Z2,214,29:12.2,8,MVOZR,NA,NA,Z46,J5939,J5017,1,Z2_2024,J6100,01/08/2024 07:43,01/08/2024 07:43,01/08/2024 08:29,01/08/2024 08:29,Z2.1 2024-08-01 07:43:26.939 J6100,J6068,01/08/2024 08:43,01/08/2024 08:43,842.7680001,Z2.1 2024-08-01 08:43:19.176 J6068,not self,0,1,J5651_Z2,J5651_Z2_2024,0,0,4,148,J5939_Z2_2024,J5017_Z2_2024,NA,NA,NA,NA,J5939_2024,NA,J5017_2024,NA,0,0,0,1,1,J6100_Z2_2024,207,7,juv_juv,solo_event,-1.316656837
Y2.1,01148B3086,25/06/2024 19:04,25/06/2024 19:04,40121,Y2.1 2024-06-25 19:04:32.111 J5657A,955.994,J5657A,2024,12.9980001449585s,primary,Y,Y2,177,04:32.1,19,MVBZR,NA,NA,Y09,J4109,J4111,1,Y2_2024,J4111,25/06/2024 18:48,25/06/2024 18:48,25/06/2024 19:04,25/06/2024 19:04,Y2.1 2024-06-25 18:48:23.118 J4111,J2728,25/06/2024 19:04,25/06/2024 19:05,14.04799986,Y2.1 2024-06-25 19:04:59.158 J2728,not self,1,1,J5657A_Y2,J5657A_Y2_2024,1,2,89,148,J4109_Y2_2024,J4111_Y2_2024,131,132,46,45,J4109_2024,NA,J4111_2024,NA,2,2,4,4,4,J4111_Y2_2024,132,45,no_juv_juv,solo_event,-1.316656837
Z2.1,01148B3086,30/07/2024 06:23,30/07/2024 06:23,5544,Z2.1 2024-07-30 06:23:29.136 J5657A,1535.502,J5657A,2024,9.617999792099s,primary,Z,Z2,212,23:29.1,6,MVBZR,NA,NA,Y09,J4109,J4111,1,Z2_2024,J6100,30/07/2024 05:57,30/07/2024 05:57,30/07/2024 06:23,30/07/2024 06:23,Z2.1 2024-07-30 05:57:43.816 J6100,J5657A,30/07/2024 06:24,30/07/2024 06:24,57.00300002,Z2.1 2024-07-30 06:24:35.756 J5657A,not self,0,1,J5657A_Z2,J5657A_Z2_2024,1,1,49,148,J4109_Z2_2024,J4111_Z2_2024,136,129,76,83,J4109_2024,NA,J4111_2024,NA,2,2,4,1,1,J6100_Z2_2024,207,5,juv_juv,solo_event,-1.316656837
Y1.1,01148AB18C,22/06/2024 09:50,22/06/2024 09:51,17307,Y1.1 2024-06-22 09:50:55.763 J5658,52.81399989,J5658,2024,8.45500016212463s,primary,Y,Y1,174,50:55.8,9,MVGY,NA,NA,Z03,J1154,J2395,1,Y1_2024,J1154,22/06/2024 09:49,22/06/2024 09:50,22/06/2024 09:50,22/06/2024 09:51,Y1.1 2024-06-22 09:49:36.792 J1154,J1631,22/06/2024 09:51,22/06/2024 09:51,0.880999804,Y1.1 2024-06-22 09:51:05.100 J1631,not self,1,1,J5658_Y1,J5658_Y1_2024,1,2,1,151,J1154_Y1_2024,J2395_Y1_2024,170,170,4,4,J1154_2024,NA,J2395_2024,NA,2,2,4,10,10,J1154_Y1_2024,170,4,no_juv_juv,solo_event,-0.457380792
Z2.1,01148AB18C,30/07/2024 11:18,30/07/2024 11:20,5604,Z2.1 2024-07-30 11:18:19.710 J5658,271.8789999,J5658,2024,119.743000030518s (~2 minutes),primary,Z,Z2,212,18:19.7,11,MVGY,NA,NA,Z03,J1154,J2395,1,Z2_2024,J5681A,30/07/2024 11:12,30/07/2024 11:13,30/07/2024 11:18,30/07/2024 11:20,Z2.1 2024-07-30 11:12:55.973 J5681A,J5658,30/07/2024 11:20,30/07/2024 11:20,11.99399996,Z2.1 2024-07-30 11:20:31.447 J5658,not self,0,1,J5658_Z2,J5658_Z2_2024,1,1,16,151,J1154_Z2_2024,J2395_Z2_2024,102,102,110,110,J1154_2024,NA,J2395_2024,NA,2,2,4,1,1,J5681A_Z2_2024,212,0,juv_juv,solo_event,-0.457380792
Y2.1,01148AA601,22/06/2024 07:28,22/06/2024 07:29,29484,Y2.1 2024-06-22 07:28:09.769 J5674A,1.624000072,J5674A,2024,81.7410001754761s (~1.36 minutes),primary,Y,Y2,174,28:09.8,7,MVGZR,NA,NA,Y09,J4109,J4111,1,Y2_2024,J4111,22/06/2024 07:28,22/06/2024 07:28,22/06/2024 07:28,22/06/2024 07:29,Y2.1 2024-06-22 07:28:08.145 J4111,J1182,22/06/2024 07:30,22/06/2024 07:30,79.65999985,Y2.1 2024-06-22 07:30:51.171 J1182,not self,1,1,J5674A_Y2,J5674A_Y2_2024,1,2,2,148,J4109_Y2_2024,J4111_Y2_2024,131,132,43,42,J4109_2024,NA,J4111_2024,NA,2,2,4,4,4,J4111_Y2_2024,132,42,no_juv_juv,solo_event,-1.316656837
Y1.1,01148AFAAC,13/07/2024 16:26,13/07/2024 16:27,25591,Y1.1 2024-07-13 16:26:23.633 J5675B,267.3219998,J5675B,2024,78.4019999504089s (~1.31 minutes),primary,Y,Y1,195,26:23.6,16,MVGZY,NA,NA,Y12,J3655,J3679,1,Y1_2024,J5728B,13/07/2024 16:21,13/07/2024 16:21,13/07/2024 16:26,13/07/2024 16:27,Y1.1 2024-07-13 16:21:15.189 J5728B,J5766,13/07/2024 16:43,13/07/2024 16:43,918.796,Y1.1 2024-07-13 16:43:00.832 J5766,not self,0,1,J5675B_Y1,J5675B_Y1_2024,0,0,112,151,J3655_Y1_2024,J3679_Y1_2024,213,170,-18,25,J3655_2024,NA,J3679_2024,NA,2,2,4,1,1,J5728B_Y1_2024,191,4,juv_juv,solo_event,-0.457380792
Y1.1,01148B4F10,17/07/2024 12:47,17/07/2024 12:47,26655,Y1.1 2024-07-17 12:47:51.898 J5676B,0,J5676B,2024,3.3529999256134s,primary,Y,Y1,199,47:51.9,12,MVYB,NA,NA,Y19,J2542,J2572,1,Y1_2024,J2542,17/07/2024 12:47,17/07/2024 12:47,17/07/2024 12:47,17/07/2024 12:47,Y1.1 2024-07-17 12:47:04.625 J2542,J5676B,17/07/2024 12:48,17/07/2024 12:48,15.523,Y1.1 2024-07-17 12:48:10.773 J5676B,not self,1,1,J5676B_Y1,J5676B_Y1_2024,1,2,10,152,J2542_Y1_2024,J2572_Y1_2024,70,124,129,75,J2542_2024,NA,J2572_2024,NA,2,2,4,8,8,J2542_Y1_2024,70,129,no_juv_juv,solo_event,-0.170955444
Y2.1,01148B4F10,25/07/2024 09:41,25/07/2024 09:41,51246,Y2.1 2024-07-25 09:41:00.215 J5676B,152.3170002,J5676B,2024,0s,primary,Y,Y2,207,41:00.2,9,MVYB,NA,NA,Y19,J2542,J2572,1,Y2_2024,J4044,25/07/2024 09:38,25/07/2024 09:38,25/07/2024 09:41,25/07/2024 09:41,Y2.1 2024-07-25 09:38:27.898 J4044,J3749,25/07/2024 09:51,25/07/2024 09:52,629.6299999,Y2.1 2024-07-25 09:51:29.845 J3749,not self,0,1,J5676B_Y2,J5676B_Y2_2024,1,1,1,152,J2542_Y2_2024,J2572_Y2_2024,NA,NA,NA,NA,J2542_2024,NA,J2572_2024,NA,0,0,0,5,5,J4044_Y2_2024,176,31,no_juv_juv,solo_event,-0.170955444
Z2.1,01148B5042,30/07/2024 11:10,30/07/2024 11:11,5602,Z2.1 2024-07-30 11:10:33.117 J5681A,63.56800008,J5681A,2024,44.6900000572205s,primary,Z,Z2,212,10:33.1,11,MVWG,NA,NA,Z22,J1556,J1898,1,Z2_2024,J4747,30/07/2024 11:09,30/07/2024 11:09,30/07/2024 11:10,30/07/2024 11:11,Z2.1 2024-07-30 11:09:27.500 J4747,J5681A,30/07/2024 11:12,30/07/2024 11:13,98.16599989,Z2.1 2024-07-30 11:12:55.973 J5681A,not self,0,1,J5681A_Z2,J5681A_Z2_2024,0,0,15,150,J1556_Z2_2024,J1898_Z2_2024,NA,NA,NA,NA,J1556_2024,NA,J1898_2024,NA,0,0,0,3,3,J4747_Z2_2024,62,150,no_juv_juv,solo_event,-0.74380614
Z2.1,01148A4922,11/07/2024 15:08,11/07/2024 15:09,7081,Z2.1 2024-07-11 15:08:58.163 J5682A,118.3010001,J5682A,2024,4.22899985313416s,primary,Z,Z2,193,08:58.2,15,MVBZG,NA,NA,Z26,J4511,J4520,1,Z2_2024,J6000,11/07/2024 15:06,11/07/2024 15:06,11/07/2024 15:08,11/07/2024 15:09,Z2.1 2024-07-11 15:06:54.928 J6000,J5697,11/07/2024 15:13,11/07/2024 15:13,242.138,Z2.1 2024-07-11 15:13:04.529 J5697,not self,0,1,J5682A_Z2,J5682A_Z2_2024,0,0,1,150,J4511_Z2_2024,J4520_Z2_2024,NA,135,NA,58,J4511_2024,NA,J4520_2024,NA,0,2,2,3,3,J6000_Z2_2024,192,1,no_juv_juv,solo_event,-0.74380614
Z2.1,01148ADE87,10/07/2024 18:38,10/07/2024 18:38,6689,Z2.1 2024-07-10 18:38:25.638 J5686,216.806,J5686,2024,2.05100011825562s,primary,Z,Z2,192,38:25.6,18,MVRZW,NA,NA,Z45,J3508,J2783,1,Z2_2024,J2168,10/07/2024 18:34,10/07/2024 18:34,10/07/2024 18:38,10/07/2024 18:38,Z2.1 2024-07-10 18:34:29.335 J2168,J5686,10/07/2024 18:39,10/07/2024 18:39,59.07200003,Z2.1 2024-07-10 18:39:26.761 J5686,not self,0,1,J5686_Z2,J5686_Z2_2024,0,0,7,153,J3508_Z2_2024,J2783_Z2_2024,62,61,130,131,J3508_2024,NA,J2783_2024,NA,2,2,4,8,8,J2168_Z2_2024,129,63,no_juv_juv,solo_event,0.115469905
Y1.1,01148AFD23,31/07/2024 09:34,31/07/2024 09:35,35207,Y1.1 2024-07-31 09:34:36.105 J5693,64.57800007,J5693,2024,27.3870000839233s,primary,Y,Y1,213,34:36.1,9,MVBB,NA,NA,Y19,J2542,J2572,1,Y1_2024,J4986,31/07/2024 09:33,31/07/2024 09:33,31/07/2024 09:34,31/07/2024 09:35,Y1.1 2024-07-31 09:33:27.207 J4986,J5503,31/07/2024 09:35,31/07/2024 09:35,26.66799998,Y1.1 2024-07-31 09:35:30.161 J5503,not self,0,1,J5693_Y1,J5693_Y1_2024,0,0,1,152,J2542_Y1_2024,J2572_Y1_2024,70,124,143,89,J2542_2024,NA,J2572_2024,NA,2,2,4,4,4,J4986_Y1_2024,86,127,no_juv_juv,solo_event,-0.170955444
Z2.1,01148AFD23,14/07/2024 16:33,14/07/2024 16:35,10757,Z2.1 2024-07-14 16:33:28.978 J5693,1413.337,J5693,2024,120.896999835968s (~2.01 minutes),primary,Z,Z2,196,33:29.0,16,MVBB,NA,NA,Y19,J2542,J2572,1,Z2_2024,J5833,14/07/2024 16:09,14/07/2024 16:09,14/07/2024 16:33,14/07/2024 16:35,Z2.1 2024-07-14 16:09:49.131 J5833,J6071,14/07/2024 17:30,14/07/2024 17:30,3284.756,Z2.1 2024-07-14 17:30:14.631 J6071,not self,0,1,J5693_Z2,J5693_Z2_2024,0,0,1,152,J2542_Z2_2024,J2572_Z2_2024,NA,NA,NA,NA,J2542_2024,NA,J2572_2024,NA,0,0,0,1,1,J5833_Z2_2024,194,2,juv_juv,solo_event,-0.170955444
