feeder,tag,start,end,event,event_id,time_diff_pre,JID,year,visit_duration,perch,site,position,day,time,hour,rings,sex,partnerID,box,motherID,fatherID,age,position_year,pre_JID,pre_start,pre_end,this_start,this_end,pre_event_id,next_JID,next_start,next_end,time_diff_next,next_event_id,self_follow,parent,age_24,JID_position,JID_position_year,dual_juv,dual_juv_parent,visit_no,day_ringed,motherID_position_year,fatherID_position_year,mother_position_first,father_position_first,mother_days_before,father_days_before,motherID_year,mother_visit_no_total,fatherID_year,father_visit_no_total,mother_feeder_use,father_feeder_use,parent_feeder_use,pre_age24,pre_age,pre_JID_position_year,pre_first_day,pre_days_before,juv_juv,pre_dual_event_key,day_ringed_z
Z3.1,01148A54B4,09/07/2023 17:53,09/07/2023 17:53,7513,Z3.1 2023-07-09 17:53:18.157 J5329,344112.538,J5329,2023,0s,primary,Z,Z3,190,53:18.2,17,OZWRZM,NA,NA,Y08,J1182,J3692,1,Z3_2023,J4967,05/07/2023 18:17,05/07/2023 18:18,09/07/2023 17:53,09/07/2023 17:53,Z3.1 2023-07-05 18:17:14.111 J4967,J5329,09/07/2023 17:53,09/07/2023 17:53,10.05900002,Z3.1 2023-07-09 17:53:28.216 J5329,not self,0,2,J5329_Z3,J5329_Z3_2023,1,1,5,155,J1182_Z3_2023,J3692_Z3_2023,NA,NA,NA,NA,J1182_2023,NA,J3692_2023,NA,0,0,0,3,2,J4967_Z3_2023,146,44,no_juv_juv,solo_event,0.688320602
Y1.1,01148A6894,21/07/2023 08:03,21/07/2023 08:03,42710,Y1.1 2023-07-21 08:03:34.511 J5330,76.09200001,J5330,2023,18.2129998207092s,primary,Y,Y1,202,03:34.5,8,RVRZM,NA,NA,Y12,J1903,J971,1,Y1_2023,J4646,21/07/2023 08:01,21/07/2023 08:02,21/07/2023 08:03,21/07/2023 08:03,Y1.1 2023-07-21 08:01:15.630 J4646,J3899,21/07/2023 08:03,21/07/2023 08:04,0,Y1.1 2023-07-21 08:03:52.723 J3899,not self,0,2,J5330_Y1,J5330_Y1_2023,0,0,1,156,J1903_Y1_2023,J971_Y1_2023,NA,121,NA,81,J1903_2023,NA,J971_2023,NA,0,2,2,5,4,J4646_Y1_2023,77,125,no_juv_juv,solo_event,0.97474595
Y4.1,01148A5293,08/07/2023 10:28,08/07/2023 10:29,82712,Y4.1 2023-07-08 10:28:58.664 J5334,314.7290001,J5334,2023,1.61299991607666s,primary,Y,Y4,189,28:58.7,10,OZYRZM,NA,NA,Y25,J1893,J972,1,Y4_2023,J972,08/07/2023 10:23,08/07/2023 10:23,08/07/2023 10:28,08/07/2023 10:29,Y4.1 2023-07-08 10:23:39.775 J972,J4044,08/07/2023 10:29,08/07/2023 10:29,0.000999928,Y4.1 2023-07-08 10:29:00.276 J4044,not self,1,2,J5334_Y4,J5334_Y4_2023,1,2,1,154,J1893_Y4_2023,J972_Y4_2023,131,115,58,74,J1893_2023,NA,J972_2023,NA,2,2,4,11,10,J972_Y4_2023,115,74,no_juv_juv,solo_event,0.401895253
Z2.1,01148A7274,27/07/2023 08:48,27/07/2023 08:48,40398,Z2.1 2023-07-27 08:48:37.164 J5354,870.365,J5354,2023,0s,primary,Z,Z2,208,48:37.2,8,YZBRZM,NA,NA,Z30,J1973,J3699,1,Z2_2023,J5316,27/07/2023 08:33,27/07/2023 08:34,27/07/2023 08:48,27/07/2023 08:48,Z2.1 2023-07-27 08:33:11.478 J5316,J5316,27/07/2023 09:14,27/07/2023 09:14,1540.626,Z2.1 2023-07-27 09:14:17.789 J5316,not self,0,2,J5354_Z2,J5354_Z2_2023,0,0,1,154,J1973_Z2_2023,J3699_Z2_2023,144,NA,64,NA,J1973_2023,NA,J3699_2023,NA,2,0,2,2,1,J5316_Z2_2023,197,11,juv_juv,solo_event,0.401895253
Z3.1,01148A7274,22/07/2023 08:17,22/07/2023 08:18,8195,Z3.1 2023-07-22 08:17:37.143 J5354,2.754000187,J5354,2023,34.5149998664856s,primary,Z,Z3,203,17:37.1,8,YZBRZM,NA,NA,Z30,J1973,J3699,1,Z3_2023,J5575,22/07/2023 08:17,22/07/2023 08:17,22/07/2023 08:17,22/07/2023 08:18,Z3.1 2023-07-22 08:17:31.840 J5575,J5575,22/07/2023 08:18,22/07/2023 08:18,9.967999935,Z3.1 2023-07-22 08:18:21.625 J5575,not self,0,2,J5354_Z3,J5354_Z3_2023,0,0,2,154,J1973_Z3_2023,J3699_Z3_2023,134,168,69,35,J1973_2023,NA,J3699_2023,NA,2,2,4,2,1,J5575_Z3_2023,203,0,juv_juv,solo_event,0.401895253
Z5.1,01148A7274,20/07/2023 08:05,20/07/2023 08:05,69761,Z5.1 2023-07-20 08:05:38.937 J5354,45676.838,J5354,2023,0s,primary,Z,Z5,201,05:38.9,8,YZBRZM,NA,NA,Z30,J1973,J3699,1,Z5_2023,J4967,19/07/2023 19:23,19/07/2023 19:24,20/07/2023 08:05,20/07/2023 08:05,Z5.1 2023-07-19 19:23:47.250 J4967,J5428,20/07/2023 08:59,20/07/2023 09:00,3239.879,Z5.1 2023-07-20 08:59:38.815 J5428,not self,0,2,J5354_Z5,J5354_Z5_2023,0,0,6,154,J1973_Z5_2023,J3699_Z5_2023,144,NA,57,NA,J1973_2023,NA,J3699_2023,NA,2,0,2,3,2,J4967_Z5_2023,138,63,no_juv_juv,solo_event,0.401895253
Z2.1,01148A78E1,07/07/2023 14:04,07/07/2023 14:04,16256,Z2.1 2023-07-07 14:04:31.368 J5362,5780.367,J5362,2023,0.979000091552734s,primary,Z,Z2,188,04:31.4,14,WWRZM,NA,NA,Z45,J3508,J2783,1,Z2_2023,J4634,07/07/2023 12:22,07/07/2023 12:28,07/07/2023 14:04,07/07/2023 14:04,Z2.1 2023-07-07 12:22:03.125 J4634,J42,07/07/2023 15:27,07/07/2023 15:28,4978.067,Z2.1 2023-07-07 15:27:30.414 J42,not self,0,2,J5362_Z2,J5362_Z2_2023,0,0,256,155,J3508_Z2_2023,J2783_Z2_2023,139,138,49,50,J3508_2023,NA,J2783_2023,NA,2,2,4,3,2,J4634_Z2_2023,139,49,no_juv_juv,solo_event,0.688320602
Z3.1,01148A78E1,22/07/2023 08:05,22/07/2023 08:06,8184,Z3.1 2023-07-22 08:05:47.312 J5362,203.1429999,J5362,2023,64.1189999580383s (~1.07 minutes),primary,Z,Z3,203,05:47.3,8,WWRZM,NA,NA,Z45,J3508,J2783,1,Z3_2023,J5484,22/07/2023 08:01,22/07/2023 08:02,22/07/2023 08:05,22/07/2023 08:06,Z3.1 2023-07-22 08:01:18.388 J5484,J5362,22/07/2023 08:07,22/07/2023 08:07,17.4380002,Z3.1 2023-07-22 08:07:08.868 J5362,not self,0,2,J5362_Z3,J5362_Z3_2023,0,0,7,155,J3508_Z3_2023,J2783_Z3_2023,143,182,60,21,J3508_2023,NA,J2783_2023,NA,2,2,4,2,1,J5484_Z3_2023,203,0,juv_juv,solo_event,0.688320602
Y2.1,01148B28B3,01/07/2023 09:54,01/07/2023 09:54,16024,Y2.1 2023-07-01 09:54:22.742 J5370,7.004000187,J5370,2023,6.00999975204468s,primary,Y,Y2,182,54:22.7,9,YZWRZM,NA,NA,Y08,J1182,J3692,1,Y2_2023,J1182,01/07/2023 09:53,01/07/2023 09:54,01/07/2023 09:54,01/07/2023 09:54,Y2.1 2023-07-01 09:53:26.697 J1182,J1182,01/07/2023 09:55,01/07/2023 09:56,37.1960001,Y2.1 2023-07-01 09:55:05.947 J1182,not self,1,2,J5370_Y2,J5370_Y2_2023,1,2,524,155,J1182_Y2_2023,J3692_Y2_2023,143,NA,39,NA,J1182_2023,NA,J3692_2023,NA,2,0,2,10,9,J1182_Y2_2023,143,39,no_juv_juv,solo_event,0.688320602
Z2.1,01148A974D,13/07/2023 10:30,13/07/2023 10:30,25698,Z2.1 2023-07-13 10:30:03.932 J5379,0,J5379,2023,4.22199988365173s,primary,Z,Z2,194,30:03.9,10,GZBRZM,NA,NA,Z10,J42,J1351,1,Z2_2023,J42,13/07/2023 10:28,13/07/2023 10:30,13/07/2023 10:30,13/07/2023 10:30,Z2.1 2023-07-13 10:28:59.508 J42,J4587,13/07/2023 10:30,13/07/2023 10:30,13.20899987,Z2.1 2023-07-13 10:30:21.362 J4587,not self,1,2,J5379_Z2,J5379_Z2_2023,1,2,329,154,J42_Z2_2023,J1351_Z2_2023,138,139,56,55,J42_2023,NA,J1351_2023,NA,2,2,4,13,12,J42_Z2_2023,138,56,no_juv_juv,solo_event,0.401895253
